pid,call,time,duration,bytes,fs
55680,rt_sigaction,12:50:14.084192,5.5e-05,0, 
55680,rt_sigaction,12:50:14.084335,6.3e-05,0, 
55680,rt_sigaction,12:50:14.084516,0.000132,0, 
55680,rt_sigaction,12:50:14.084804,6.2e-05,0, 
55680,rt_sigaction,12:50:14.085008,7.9e-05,0, 
55680,rt_sigaction,12:50:14.085227,0.00018,0, 
55680,rt_sigaction,12:50:14.085561,8.2e-05,0, 
55680,rt_sigaction,12:50:14.085821,8.1e-05,0, 
55680,rt_sigaction,12:50:14.086107,8.4e-05,0, 
55680,rt_sigaction,12:50:14.086357,7.2e-05,0, 
55680,rt_sigaction,12:50:14.086561,7.8e-05,0, 
55680,rt_sigaction,12:50:14.086755,7.9e-05,0, 
55680,rt_sigaction,12:50:14.086948,8.1e-05,0, 
55680,rt_sigaction,12:50:14.087141,7.7e-05,0, 
55680,rt_sigaction,12:50:14.087329,8e-05,0, 
55680,rt_sigaction,12:50:14.087490,9.3e-05,0, 
55680,rt_sigaction,12:50:14.087735,7.8e-05,0, 
55680,fstat,12:50:14.087999,7.1e-05,0, 
55680,fcntl,12:50:14.088738,8.6e-05,0, 
55680,fstat,12:50:14.089039,7.7e-05,0, 
55680,ioctl,12:50:14.089291,8.7e-05,0, 
55680,lseek,12:50:14.089532,7.5e-05,0, 
55680,ioctl,12:50:14.089762,7.7e-05,0, 
55680,fcntl,12:50:14.090074,8.1e-05,0, 
55680,fstat,12:50:14.090346,9.8e-05,0, 
55680,ioctl,12:50:14.090619,7.4e-05,0, 
55680,lseek,12:50:14.090866,8.9e-05,0, 
55680,fcntl,12:50:14.091139,9.2e-05,0, 
55680,fstat,12:50:14.091388,6.9e-05,0, 
55680,ioctl,12:50:14.091700,8.5e-05,0, 
55680,lseek,12:50:14.091976,8e-05,0, 
55680,brk,12:50:14.092796,0.000136,0, 
55680,mmap,12:50:14.093272,7.5e-05,0, 
55680,stat,12:50:14.095179,0.000116,0, 
55680,stat,12:50:14.095510,8.8e-05,0, 
55680,geteuid,12:50:14.095744,7.8e-05,0, 
55680,getuid,12:50:14.095979,8e-05,0, 
55680,getegid,12:50:14.096189,6.7e-05,0, 
55680,getgid,12:50:14.096387,4.1e-05,0, 
55680,stat,12:50:14.096638,8.9e-05,0, 
55680,openat,12:50:14.096952,6.9e-05,0, 
55680,fstat,12:50:14.097122,5.8e-05,0, 
55680,getdents64,12:50:14.097318,9.5e-05,0, 
55680,getdents64,12:50:14.097556,6.4e-05,0, 
55680,close,12:50:14.097709,8.8e-05,0, 
55680,stat,12:50:14.097979,0.000126,0, 
55680,openat,12:50:14.098335,8e-05,0, 
55680,fstat,12:50:14.098625,3.4e-05,0, 
55680,getdents64,12:50:14.098821,0.00022,0, 
55680,getdents64,12:50:14.099320,6.5e-05,0, 
55680,close,12:50:14.099527,9.4e-05,0, 
55680,openat,12:50:14.099858,9.5e-05,0, 
55680,fstat,12:50:14.100172,9e-05,0, 
55680,ioctl,12:50:14.100385,7.2e-05,0, 
55680,lseek,12:50:14.100572,8.6e-05,0, 
55680,read,12:50:14.100814,7.8e-05,[<4MB],/opt/conda
55680,stat,12:50:14.101282,0.000111,0, 
55680,stat,12:50:14.101576,7.3e-05,0, 
55680,stat,12:50:14.101806,7.6e-05,0, 
55680,stat,12:50:14.102035,8.5e-05,0, 
55680,openat,12:50:14.102254,8.5e-05,0, 
55680,fstat,12:50:14.102500,6.8e-05,0, 
55680,getdents64,12:50:14.102698,0.00011,0, 
55680,getdents64,12:50:14.102943,4.9e-05,0, 
55680,close,12:50:14.103091,4.6e-05,0, 
55680,stat,12:50:14.103278,3.8e-05,0, 
55680,stat,12:50:14.103437,4.4e-05,0, 
55680,stat,12:50:14.103607,3.4e-05,0, 
55680,openat,12:50:14.103819,8.5e-05,0, 
55680,fstat,12:50:14.104054,5.7e-05,0, 
55680,getdents64,12:50:14.104186,7.6e-05,0, 
55680,getdents64,12:50:14.104474,6.1e-05,0, 
55680,close,12:50:14.104616,4.5e-05,0, 
55680,stat,12:50:14.104746,6.9e-05,0, 
55680,stat,12:50:14.104916,4e-05,0, 
55680,stat,12:50:14.105079,3.4e-05,0, 
55680,openat,12:50:14.105176,3.5e-05,0, 
55680,fstat,12:50:14.105295,3.2e-05,0, 
55680,getdents64,12:50:14.105382,0.000108,0, 
55680,getdents64,12:50:14.105597,3.1e-05,0, 
55680,close,12:50:14.105692,5.1e-05,0, 
55680,stat,12:50:14.105873,3.4e-05,0, 
55680,stat,12:50:14.105980,3.2e-05,0, 
55680,stat,12:50:14.106075,3.1e-05,0, 
55680,stat,12:50:14.106164,3.3e-05,0, 
55680,stat,12:50:14.106324,3.1e-05,0, 
55680,openat,12:50:14.106477,6.7e-05,0, 
55680,fstat,12:50:14.106682,5.2e-05,0, 
55680,ioctl,12:50:14.106841,0.000113,0, 
55680,lseek,12:50:14.107027,3.1e-05,0, 
55680,lseek,12:50:14.107121,3e-05,0, 
55680,fstat,12:50:14.107203,5.4e-05,0, 
55680,read,12:50:14.107315,6.2e-05,[<4MB],/opt/conda
55680,read,12:50:14.107495,4.2e-05,[<4KB],/opt/conda
55680,close,12:50:14.107602,3.6e-05,0, 
55680,read,12:50:14.108122,3.7e-05,[<4MB],/opt/conda
55680,close,12:50:14.108297,6e-05,0, 
55680,stat,12:50:14.108567,3.3e-05,0, 
55680,stat,12:50:14.108712,6.2e-05,0, 
55680,stat,12:50:14.108947,4e-05,0, 
55680,stat,12:50:14.109091,5.4e-05,0, 
55680,stat,12:50:14.109359,6.1e-05,0, 
55680,stat,12:50:14.109660,5.8e-05,0, 
55680,stat,12:50:14.109853,0.000144,0, 
55680,stat,12:50:14.110173,6.4e-05,0, 
55680,stat,12:50:14.110528,8.1e-05,0, 
55680,openat,12:50:14.110773,4.2e-05,0, 
55680,fstat,12:50:14.111087,6.2e-05,0, 
55680,ioctl,12:50:14.111270,5.8e-05,0, 
55680,lseek,12:50:14.111403,3.3e-05,0, 
55680,lseek,12:50:14.111490,3.5e-05,0, 
55680,lseek,12:50:14.111571,3e-05,0, 
55680,lseek,12:50:14.111645,3e-05,0, 
55680,read,12:50:14.111731,4.1e-05,[<4MB],/workspaces/hdf5-tutorial
55680,lseek,12:50:14.111832,3e-05,0, 
55680,lseek,12:50:14.111904,3e-05,0, 
55680,lseek,12:50:14.111979,0.000119,0, 
55680,lseek,12:50:14.112156,3.2e-05,0, 
55680,fstat,12:50:14.112231,3.1e-05,0, 
55680,read,12:50:14.112307,3.4e-05,[<4KB],/workspaces/hdf5-tutorial
55680,read,12:50:14.112385,3e-05,[<4KB],/workspaces/hdf5-tutorial
55680,lseek,12:50:14.112467,3e-05,0, 
55680,close,12:50:14.112552,3.2e-05,0, 
55680,stat,12:50:14.112647,3.4e-05,0, 
55680,readlink,12:50:14.112756,3.1e-05,0, 
55680,getcwd,12:50:14.112841,3.1e-05,0, 
55680,lstat,12:50:14.112923,3.1e-05,0, 
55680,lstat,12:50:14.113006,3.1e-05,0, 
55680,openat,12:50:14.113091,3.5e-05,0, 
55680,ioctl,12:50:14.113181,3e-05,0, 
55680,fstat,12:50:14.113252,3e-05,0, 
55680,ioctl,12:50:14.113325,3e-05,0, 
55680,lseek,12:50:14.113420,3.1e-05,0, 
55680,fstat,12:50:14.113495,3e-05,0, 
55680,read,12:50:14.113582,3.1e-05,[<4MB],/workspaces/hdf5-tutorial
55680,lseek,12:50:14.113694,3.3e-05,0, 
55680,read,12:50:14.113792,3.2e-05,[<4MB],/workspaces/hdf5-tutorial
55680,brk,12:50:14.113913,3.4e-05,0, 
55680,read,12:50:14.114115,3.2e-05,[<4MB],/workspaces/hdf5-tutorial
55680,close,12:50:14.114202,3.1e-05,0, 
55680,stat,12:50:14.114439,3.5e-05,0, 
55680,stat,12:50:14.114534,3.3e-05,0, 
55680,stat,12:50:14.114637,3.2e-05,0, 
55680,openat,12:50:14.114778,3.4e-05,0, 
55680,fstat,12:50:14.114872,3.1e-05,0, 
55680,getdents64,12:50:14.114950,4.1e-05,0, 
55680,getdents64,12:50:14.115051,3e-05,0, 
55680,close,12:50:14.115123,3.2e-05,0, 
55680,stat,12:50:14.115211,3.3e-05,0, 
55680,stat,12:50:14.115307,3.2e-05,0, 
55680,stat,12:50:14.115401,3.4e-05,0, 
55680,stat,12:50:14.115486,3.2e-05,0, 
55680,stat,12:50:14.115563,3.3e-05,0, 
55680,stat,12:50:14.115661,3.2e-05,0, 
55680,stat,12:50:14.115737,3.2e-05,0, 
55680,stat,12:50:14.115814,3.3e-05,0, 
55680,stat,12:50:14.115923,3.3e-05,0, 
55680,openat,12:50:14.116020,3.5e-05,0, 
55680,fstat,12:50:14.116109,3.1e-05,0, 
55680,ioctl,12:50:14.116184,3e-05,0, 
55680,lseek,12:50:14.116269,3e-05,0, 
55680,lseek,12:50:14.116345,3e-05,0, 
55680,fstat,12:50:14.116427,3.2e-05,0, 
55680,read,12:50:14.116514,3.7e-05,[<4MB],/opt/conda
55680,read,12:50:14.116593,3e-05,[<4KB],/opt/conda
55680,close,12:50:14.116667,3.1e-05,0, 
55680,stat,12:50:14.116875,3.2e-05,0, 
55680,stat,12:50:14.116970,3.2e-05,0, 
55680,stat,12:50:14.117052,3.3e-05,0, 
55680,stat,12:50:14.117154,3.1e-05,0, 
55680,openat,12:50:14.117243,3.5e-05,0, 
55680,fstat,12:50:14.117332,3e-05,0, 
55680,ioctl,12:50:14.117405,3.1e-05,0, 
55680,lseek,12:50:14.117479,3e-05,0, 
55680,lseek,12:50:14.117562,3e-05,0, 
55680,fstat,12:50:14.117642,3e-05,0, 
55680,read,12:50:14.117718,9.6e-05,[<4MB],/opt/conda
55680,read,12:50:14.117867,6.2e-05,[<4KB],/opt/conda
55680,close,12:50:14.118188,9.3e-05,0, 
55680,stat,12:50:14.118719,4.1e-05,0, 
55680,stat,12:50:14.119017,6.6e-05,0, 
55680,stat,12:50:14.119217,4.5e-05,0, 
55680,openat,12:50:14.119327,3.6e-05,0, 
55680,fstat,12:50:14.119412,2.9e-05,0, 
55680,getdents64,12:50:14.119485,6.4e-05,0, 
55680,getdents64,12:50:14.119615,3.4e-05,0, 
55680,close,12:50:14.119691,3.7e-05,0, 
55680,stat,12:50:14.119791,3.6e-05,0, 
55680,stat,12:50:14.119923,3.5e-05,0, 
55680,openat,12:50:14.120143,3.9e-05,0, 
55680,fstat,12:50:14.120239,3.1e-05,0, 
55680,ioctl,12:50:14.120327,3.1e-05,0, 
55680,lseek,12:50:14.120410,8.8e-05,0, 
55680,lseek,12:50:14.120555,3e-05,0, 
55680,fstat,12:50:14.120626,3e-05,0, 
55680,read,12:50:14.120849,3.4e-05,[<4KB],/opt/conda
55680,read,12:50:14.120939,3.1e-05,[<4KB],/opt/conda
55680,close,12:50:14.121015,9.2e-05,0, 
55680,stat,12:50:14.121254,3.3e-05,0, 
55680,stat,12:50:14.121354,3.3e-05,0, 
55680,stat,12:50:14.121457,3.3e-05,0, 
55680,stat,12:50:14.121573,3.1e-05,0, 
55680,openat,12:50:14.121663,3.5e-05,0, 
55680,fstat,12:50:14.121742,3.4e-05,0, 
55680,ioctl,12:50:14.121968,3.1e-05,0, 
55680,lseek,12:50:14.122057,3e-05,0, 
55680,lseek,12:50:14.122144,3e-05,0, 
55680,fstat,12:50:14.122214,3e-05,0, 
55680,read,12:50:14.122289,6.6e-05,[<4MB],/opt/conda
55680,read,12:50:14.122420,3.1e-05,[<4KB],/opt/conda
55680,close,12:50:14.122502,3.4e-05,0, 
55680,brk,12:50:14.122715,3.4e-05,0, 
55680,stat,12:50:14.123067,5.7e-05,0, 
55680,stat,12:50:14.123201,3.2e-05,0, 
55680,stat,12:50:14.123308,3.4e-05,0, 
55680,stat,12:50:14.123434,3.3e-05,0, 
55680,openat,12:50:14.123529,3.7e-05,0, 
55680,fstat,12:50:14.123612,3.1e-05,0, 
55680,ioctl,12:50:14.123687,3.3e-05,0, 
55680,lseek,12:50:14.123771,3e-05,0, 
55680,lseek,12:50:14.123856,3e-05,0, 
55680,fstat,12:50:14.123936,3.6e-05,0, 
55680,read,12:50:14.124017,3.6e-05,[<4MB],/opt/conda
55680,read,12:50:14.124111,3.1e-05,[<4KB],/opt/conda
55680,close,12:50:14.124191,3.2e-05,0, 
55680,stat,12:50:14.124599,8.2e-05,0, 
55680,stat,12:50:14.124767,3.4e-05,0, 
55680,stat,12:50:14.124890,3.4e-05,0, 
55680,stat,12:50:14.125009,3.2e-05,0, 
55680,openat,12:50:14.125102,3.6e-05,0, 
55680,fstat,12:50:14.125182,3e-05,0, 
55680,ioctl,12:50:14.125258,3e-05,0, 
55680,lseek,12:50:14.125344,3.4e-05,0, 
55680,lseek,12:50:14.125423,3e-05,0, 
55680,fstat,12:50:14.125503,3.2e-05,0, 
55680,read,12:50:14.125580,3.4e-05,[<4MB],/opt/conda
55680,read,12:50:14.125671,3.2e-05,[<4KB],/opt/conda
55680,close,12:50:14.125748,3.2e-05,0, 
55680,stat,12:50:14.126097,7.3e-05,0, 
55680,stat,12:50:14.126258,3.2e-05,0, 
55680,stat,12:50:14.126352,3.6e-05,0, 
55680,stat,12:50:14.126456,3.3e-05,0, 
